from_user_id,?column?
wmqDzZEwAA-rT6VchP6552KIyZVJiUMA,"「主教老师Angie：
@艾千然Cheyne妈妈 我们素质拓展单上」
- - - - - - - - - - - - - - -
好的，谢谢老师"
wmqDzZEwAAsphcuJ_DLg7oBXAX3e88jg,收到
wmqDzZEwAAGliRv1xV-m9nWpZ4G2VFOQ,收到
wmqDzZEwAAbsXp8IIXebEBtPq_didHXg,好的，谢谢Ice老师[玫瑰]
wmqDzZEwAAbsXp8IIXebEBtPq_didHXg,主要是Lucas随时关注着他的笃笃币呢，每周都要问[捂脸]
wmqDzZEwAATqG2TYYiKq9KC3DddyG4Tw,老师，这个打不开
wmqDzZEwAAjM9BdP-6QHtE7znCfwyLUQ,[鼓掌]
wmqDzZEwAAm9S1Ic5t4MoU4PPxtYtEXg,"素拓更改：
本次为美小阅读（《美国小学生阅读精选》四年级 Passage 3哦👆"
wmqDzZEwAAZj4YVQ-YVja6jKBIA0qtCw,这是crystal补作业
wmqDzZEwAACob5gVEA0TpVw-9sm61W-g,@所有人 以上是本周练习册需要使用的音频[爱心]
wmqDzZEwAArybfo0M64e3dIWdhAmZR-A,Daughter
wmqDzZEwAAIdYYJHAFF0K5TCv9DClnpg,收到
wmqDzZEwAACob5gVEA0TpVw-9sm61W-g,忽略以上信息@所有人 发错了[捂脸]
wmqDzZEwAACob5gVEA0TpVw-9sm61W-g,、
wmqDzZEwAACob5gVEA0TpVw-9sm61W-g,@所有人 以上是本周练习册需要使用的音频[爱心]
wmqDzZEwAAUa8a1MoOddRaxE5WnW0DUQ,预习的儿歌好像没有传
wmqDzZEwAATqG2TYYiKq9KC3DddyG4Tw,Henry 笔记，请老师查收
wmqDzZEwAAvD0oaXXMGzop094Tu82Klg,哇，太棒了。我也想来笃一上课
wmqDzZEwAAZj4YVQ-YVja6jKBIA0qtCw,以上crystal本周还课
wmqDzZEwAAkxe_oNRO6rS0tcdukqD1Ew,@主教Joline老师 我们来还笔记作业了[愉快]
wmqDzZEwAAF_VP2zRSo8XivVSm0y8r-Q,以上是Jayden本周的还课内容
wmqDzZEwAArDLdgfUtUw3La9cgnOQbJA,@班主任Reece 麻烦老师查收一下，谢谢
wmqDzZEwAAzv5bxryU-icyqpbEsx4xgw,收到，老师们辛苦了！[抱拳]
wmqDzZEwAAbsXp8IIXebEBtPq_didHXg,[偷笑]
wmqDzZEwAAP2iMecDlSqAfD4MF32PfNw,"各位家长朋友们晚上好@所有人  

昨天的课程中，我们围绕规则的意义对“没有规矩不成方圆”展开了深入探讨，通过英文绘本阅读，我们一起思考了“没有规矩是否可行”，学习了如何用英语制定规则、遵守规则。

与此同时，我们更用英语探讨了应对困难的方法，引导孩子们学会向值得信赖的人倾诉，懂得用不同角度思考问题，think differently, 更要明白“事缓则圆wait and see 的处世智慧——遇到事情不必急于求成，耐心等待往往能迎来圆满的解决。这份源自中国传统文化的人生哲理，已在孩子们心中悄然扎根。

此外，本堂课还介绍了英文书信的规范格式，并回顾了一个有趣的文化常识：“东西”这个词的由来，正是源于唐代长安城的“东市”和西市”

相信课堂播下的这些种子，将在未来的某一天，当孩子们面对挑战时，让他们忽然领悟“事缓则圆”的深意，从容坚定地走向自己的目标。这，正是教育最美的意义。

⬇以下是本周【素质积分表】【闯关三登记表】有任何问题请私信Jenny"
